ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0019,Party Gameplay,16 Final Result,Winner A,Primary,390,844,1.0,No,TEST-ONLY,06_party_gameplay/16_final_result_winner_a_primary_390x844.png,50c682c609fee8c0e6b07a21d8adfc9e8c651a62c4d2a1c7c45260a6bc42e2ed,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0020,Saved Games & Help,17 How to Play,Default,Primary,390,844,1.0,No,TEST-ONLY,07_saved_games/17_how_to_play_primary_390x844.png,567f5d702bf0db0a30e75479094dd84275aac5b4513de0d12cf21a421313cde2,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0021,Saved Games & Help,18 Saved Party Games,Current list,Primary,390,844,1.0,No,TEST-ONLY,07_saved_games/18_saved_party_games_primary_390x844.png,554c4a76726ba5ee99b67e228518f977faafe5b81e76e5104142589bcc0840a8,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0022,Solo,28 Match Setup,Default,Primary,390,844,1.0,No,TEST-ONLY,09_solo/28_match_setup_primary_390x844.png,5e25021494d7b8ae034295430e6eff943171b34752eeded9fbd1aa18318a1bad,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0023,Solo,29 Solo Setup,Limited,Primary,390,844,1.0,No,TEST-ONLY,09_solo/29_solo_setup_limited_primary_390x844.png,e287cbf2caafd2eeb5749b32eb8425169c256e0affbf9d1225a560baf82b371b,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0024,Team Challenge,33 Team Challenge,Current availability,Primary,390,844,1.0,No,TEST-ONLY,10_team_challenge/33_team_challenge_primary_390x844.png,e16cfb7f8e79534e35adbe3f1531d41df7a4dade51aa1e43679bb4e3775ee8d8,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0025,Ranking,34 Ranking,Current,Primary,390,844,1.0,No,TEST-ONLY,11_ranking/34_ranking_primary_390x844.png,cdc7bdb176ff561da516fbf07d233e9b7d3a2cae2974b15dc839bfea369f6ceb,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0026,Friends,35 Friends,Search idle,Primary,390,844,1.0,No,TEST-ONLY,12_friends/35_friends_primary_390x844.png,d2172eac817f67d6f1f20d4d3bc5166d90350c6e2c99210f81dde4ca4001b531,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0027,Blocked Players,36 Blocked Players,Current,Primary,390,844,1.0,No,TEST-ONLY,13_blocked_players/36_blocked_players_primary_390x844.png,c24c37128a61405bd6a06b4ee75537234b3fb1dab708cd5011a0aa6d4ccef5c4,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0028,Team Detail,37 Team Detail,Current,Primary,390,844,1.0,No,TEST-ONLY,14_team_detail/37_team_detail_primary_390x844.png,4d88ce35aa88bb336607696327a14a600a0349fac8b646611b96bbc2dd9fe2b1,Exact logical-pixel Flutter render; copied losslessly.
